id_estudiante,nombre,curso,fecha,asistio,justificacion,promedio_notas,telefono_contacto,correo,tutor
263,Leonardo Bustamante,9A,2025-04-19,Sí,,3.2,3151471222,leonardo@example.com,Nicolás Castro
264,Marc Cerezo,10A,2025-04-23,Sí,,3.0,3129226889,marc@example.com,Iván Méndez
265,Antonia Bernal,11B,2025-05-13,No,Enfermedad,2.9,3194982908,antonia@example.com,Ana Pérez
266,Perlita Uribe,9A,2025-05-03,Sí,,3.4,3170887307,perlita@example.com,Nicolás Castro
267,Fito Pinedo,9B,2025-04-17,No,Familiar fallecido,4.3,3186181117,fito@example.com,Marcela Navarro
268,Filomena Tamayo,9A,2025-04-21,Sí,,2.9,3192924837,filomena@example.com,Luis Torres
269,Marcia Alcalá,11B,2025-04-18,Sí,,3.2,3198843907,marcia@example.com,Elena Silva
270,Francisco Jose Barranco,10B,2025-05-03,No,Sin justificación,3.2,3178765957,francisco@example.com,Ricardo Fernández
271,Raimundo Rodriguez,10A,2025-05-11,No,Enfermedad,3.2,3189609131,raimundo@example.com,Diana Reyes
272,Paulino Manzanares,11A,2025-04-28,No,Enfermedad,3.1,3190440034,paulino@example.com,Luis Torres
273,Caridad Doménech,9A,2025-04-30,Sí,,3.3,3138351344,caridad@example.com,Sandra Ramírez
274,María Ángeles Gallart,10A,2025-04-16,No,Familiar fallecido,2.8,3176757928,maría@example.com,Elena Silva
275,Buenaventura Luz,9B,2025-04-24,Sí,,3.5,3140884937,buenaventura@example.com,Raúl Vargas
276,Lucía Carrera,11A,2025-04-20,No,Enfermedad,3.5,3115677713,lucía@example.com,Elena Silva
277,Brígida Barrena,9A,2025-04-16,No,Enfermedad,4.7,3187277086,brígida@example.com,Elena Silva
278,Evangelina Donaire,11A,2025-05-02,No,Sin justificación,3.2,3164362516,evangelina@example.com,Ana Pérez
279,Marcio Carlos,10A,2025-04-15,Sí,,4.5,3192963368,marcio@example.com,Roberto Torres
280,Amanda Lamas,11B,2025-04-28,No,Enfermedad,3.6,3124208709,amanda@example.com,Carlos Díaz
281,Viviana Sierra,10B,2025-04-24,No,,2.7,3151644346,viviana@example.com,Nicolás Castro
282,Isidoro Jurado,9B,2025-05-13,No,Cita médica,2.7,3194989976,isidoro@example.com,Ricardo Fernández
283,Victor Manuel Godoy,11A,2025-05-06,Sí,,4.8,3156892354,victor@example.com,Daniela Morales
284,Pablo Puente,11B,2025-04-14,Sí,,3.1,3129655410,pablo@example.com,Juana Martínez
285,Georgina Roda,9B,2025-04-21,Sí,,4.0,3197980930,georgina@example.com,Marta Rojas
286,Reyna Tomé,9B,2025-05-06,No,Sin justificación,4.4,3187774890,reyna@example.com,Roberto Torres
287,Juan Carlos Saez,11B,2025-05-05,No,Familiar fallecido,2.9,3119165226,juan@example.com,Diana Reyes
288,Teodosio Navas,10B,2025-04-21,No,Familiar fallecido,4.0,3157236885,teodosio@example.com,Raúl Vargas
289,Anunciación Arnal,9A,2025-05-06,No,Sin justificación,3.6,3117635653,anunciación@example.com,Daniela Morales
290,Mónica Pallarès,10A,2025-04-16,Sí,,4.1,3122119391,mónica@example.com,Marcela Navarro
291,Cecilia Escribano,11A,2025-05-13,No,Sin justificación,4.0,3115505975,cecilia@example.com,Roberto Torres
292,Adora Dominguez,11A,2025-05-10,Sí,,3.3,3173837847,adora@example.com,Raúl Vargas
293,Sergio Prado,9B,2025-05-05,Sí,,3.6,3156095437,sergio@example.com,Marta Rojas
294,Goyo Santiago,11A,2025-04-25,Sí,,2.6,3168754920,goyo@example.com,Roberto Torres
295,Ariel Bou,11A,2025-05-06,Sí,,3.4,3147969333,ariel@example.com,Pedro Ruiz
296,Julie Talavera,10B,2025-05-08,No,,2.6,3194676162,julie@example.com,Nicolás Castro
297,Rico Frías,9A,2025-04-20,No,Enfermedad,3.9,3161883769,rico@example.com,Claudia Herrera
298,Lázaro Pla,10A,2025-04-17,Sí,,3.3,3188213973,lázaro@example.com,Sandra Ramírez
299,Selena Catalá,10A,2025-04-26,No,Sin justificación,2.8,3121370793,selena@example.com,Claudia Herrera
300,Julia Batalla,11A,2025-05-07,No,Familiar fallecido,4.5,3199941500,julia@example.com,Raúl Vargas
